Country,ISO3_Code,Region,Income_Group,Year,Crop,Area_Harvested_Ha,Production_Tonnes,Yield_Kg_Ha,Fertilizer_Use_Kg_Ha,Irrigation_Pct,Notes,_source_file,_source_name,_extracted_at,_row_num,_cleaned_at
China,CHN,East Asia,Upper middle income,2001,Soybeans,3751494.0,12036421.75,3208.43,100.9,,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,1,2026-01-14T09:30:34.632836
Nepal,NPL,South Asia,Low income,1993,Maize,2112762.0,11377270.55,5385.02,19.14,9.8,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,2,2026-01-14T09:30:34.632836
South Korea,KOR,East Asia,High income,1995,Soybeans,1650777.0,7474101.16,4527.63,193.84,56.6,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,3,2026-01-14T09:30:34.632836
United States,USA,North America,High income,2018,Wheat,4782989.0,32397951.41,6773.58,205.12,62.5,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,4,2026-01-14T09:30:34.632836
Japan,JPN,East Asia,High income,2013,Rice,5434696.0,58322509.35,10731.51,211.64,61.4,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,5,2026-01-14T09:30:34.632836
United States,USA,North America,High income,2022,Wheat,1520076.0,15199442.37,9999.13,130.55,39.3,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,6,2026-01-14T09:30:34.632836
Canada,CAN,North America,High income,2013,Wheat,4111786.0,31885712.66,7754.71,215.27,45.5,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,7,2026-01-14T09:30:34.632836
Nepal,NPL,South Asia,Low income,1998,Soybeans,1774023.0,3078580.21,1735.37,21.61,11.1,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,8,2026-01-14T09:30:34.632836
Thailand,THA,Southeast Asia,Upper middle income,2014,Maize,4344098.0,32868299.41,7566.2,172.78,29.6,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,9,2026-01-14T09:30:34.632836
Japan,JPN,East Asia,High income,1999,Wheat,2933697.0,12751948.06,4346.72,159.49,41.1,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,10,2026-01-14T09:30:34.632836
Vietnam,VNM,Southeast Asia,Lower middle income,2008,Rice,4151761.0,,5938.69,70.61,16.7,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,11,2026-01-14T09:30:34.632836
Ethiopia,ETH,Sub-Saharan Africa,Low income,1991,Rice,742105.0,,3328.13,12.72,12.5,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,12,2026-01-14T09:30:34.632836
Brazil,BRA,South America,Upper middle income,1995,Wheat,607201.0,2908165.91,4789.46,103.33,27.3,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,13,2026-01-14T09:30:34.632836
China,CHN,East Asia,Upper middle income,1994,Soybeans,4878164.0,10923562.98,,47.75,24.3,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,14,2026-01-14T09:30:34.632836
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2016,Wheat,200578.0,882142.37,4398.0,74.47,27.6,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,15,2026-01-14T09:30:34.632836
Russia,RUS,Europe,Upper middle income,1995,Soybeans,3467016.0,12307847.44,3549.98,68.69,47.6,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,16,2026-01-14T09:30:34.632836
Canada,CAN,North America,High income,1999,Soybeans,4252889.0,19957725.03,,191.94,56.3,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,17,2026-01-14T09:30:34.632836
Bangladesh,BGD,South Asia,Lower middle income,1993,Maize,1323069.0,5038826.73,3808.44,61.65,27.1,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,18,2026-01-14T09:30:34.632836
Canada,CAN,North America,High income,1999,Maize,4453282.0,38278556.25,8595.58,148.97,44.5,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,19,2026-01-14T09:30:34.632836
Japan,JPN,East Asia,High income,2010,Wheat,503514.0,3139866.99,6235.91,163.47,31.7,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,20,2026-01-14T09:30:34.632836
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2001,Rice,1004930.0,,4738.86,98.53,17.1,,crop_production_1990_2023.csv,crop_production,2026-01-14T09:30:34.526458,21,2026-01-14T09:30:34.632836
